japanese,vietnamese
モリーンです。,Đây là Moleen .
ジミーです。,Đây là Jimmy .
ニューヨークです。,New York là .
幽霊です。,Ghost là .
犬が吠える。,Con chó sủa .
犬は泳げます。,Chó biết bơi .
犬が吠えている。,Con chó đang sủa .
犬が吠える。,Con chó sủa .
犬は忠実です。,Con chó trung thành .
その犬が跳んだ。,Con chó đã nhảy .
犬が吠えた。,Con chó sủa .
猛犬注意！,Hãy coi chừng những con chó dữ !
犬は大嫌い。,Tôi ghét chó .
犬が嫌い。,Tôi ghét chó .
犬は賢い。,Con chó là thông minh .
犬が吠えている。,Con chó đang sủa .
吠える犬は滅多に噛まないものだ。,Chó sủa hiếm khi cắn .
吠える犬はめったに噛み付く事はない。,Chó sủa hiếm khi cắn .
よく吠える犬はめったにかみつかない。,Chó sủa thường hiếm khi cắn .
眠れる獅子は起こすな。,Đừng đánh thức con sư tử đang ngủ .
どの犬があなたのものですか。,Bạn con chó nào của bạn .
どのイヌも生きています。,Mọi con chó đều còn sống .
たくさんのイヌが生きています。,Nhiều con chó còn sống .
その犬は立ち去った。,Con chó đã đi mất .
その犬は死んでいた。,Con chó đã chết .
その犬は死に掛けている。,Con chó sắp chết .
その犬は死にかけていた。,Con chó đã chết .
その犬はお腹がすいているように見える。,Con chó trông đói .
その犬が好きです。,Tôi thích con chó đó .
これらのイヌは大きい。,Những con chó này lớn .
この犬たちは大きい。,Những con chó này lớn .
これは犬です。,Đây là một con chó .
これは犬だ。,Đây là nó .
ここに君の犬がいる。,Con chó của bạn đây .
あなたの犬はここにいます。,Con chó của bạn ở đây .
いぬが走っていた。,Inu đã chạy .
いぬが後についてきた。,Inu làm theo .
あの犬たちは大きい。,Những con chó đó lớn .
あれは私の犬です。,Đó là con chó của tôi .
あのイヌは大きい。,Con chó đó lớn .
あの犬は大きい。,Con chó đó lớn .
あなたは４匹の犬を飼っています。,Bạn có bốn con chó.
犬が吠えている。,Con chó đang sủa .
犬はよく骨を地面に埋める。,Chó thường chôn xương xuống đất .
犬は泳ぎますか。,Bạn có bơi chó không .
犬は後ずさりした。,Con chó lùi lại .
私の犬は白い。,Con chó của tôi màu trắng .
私の犬達は白い。,Những con chó của tôi màu trắng .
私は犬を一匹飼ってます。,Tôi có một con chó .
彼は犬を飼っている。,Anh ấy có một con chó .
私は犬を３匹飼っている。,Tôi có ba con chó.
彼女は本当に犬が嫌いです。,Cô ấy rất ghét chó .
猛犬に注意！,Hãy coi chừng những con chó dữ !
あなたの犬は噛む？,Con chó của bạn có cắn không?
